"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"In my community, women political leaders are generally: (select all that apply)  F12h. More likely to be threatened with abuse","","","","","In my community, women political leaders are generally: (select all that apply)  F12h. More likely to be threatened with abuse","","","","","In my community, women political leaders are generally: (select all that apply)  F12h. More likely to be threatened with abuse","","","","","In my community, women political leaders are generally: (select all that apply)  F12h. More likely to be threatened with abuse","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","263","20.28","216","19.54","Yes","341","22.9","321","26.24","Yes","297","33.12","252","26.65","Yes","901","26.29","789","25.75"
"No","848","79.72","814","80.46","No","858","77.1","852","73.76","No","804","66.88","767","73.35","No","2510","73.71","2433","74.25"
"","","","","","","","","","","","","","","","","","","",""
"F12i. More likely to be physically abused","","","","","F12i. More likely to be physically abused","","","","","F12i. More likely to be physically abused","","","","","F12i. More likely to be physically abused","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","211","17.28","143","13.53","Yes","270","17","256","16.86","Yes","239","25.98","191","16.86","Yes","720","20.23","590","16.54"
"No","900","82.72","887","86.47","No","929","83","917","83.14","No","862","74.02","828","83.14","No","2691","79.77","2632","83.46"
"","","","","","","","","","","","","","","","","","","",""
"F12j. More likely to be sexually abused","","","","","F12j. More likely to be sexually abused","","","","","F12j. More likely to be sexually abused","","","","","F12j. More likely to be sexually abused","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","177","15.34","106","9.84","Yes","236","14.32","229","15.02","Yes","207","20.56","152","12.15","Yes","620","16.64","487","13.42"
"No","934","84.66","924","90.16","No","963","85.68","944","84.98","No","894","79.44","867","87.85","No","2791","83.36","2735","86.58"
"","","","","","","","","","","","","","","","","","","",""
"F12k. Viewed as poor caretakers for their families","","","","","F12k. Viewed as poor caretakers for their families","","","","","F12k. Viewed as poor caretakers for their families","","","","","F12k. Viewed as poor caretakers for their families","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","188","17.99","154","19.99","Yes","250","15.61","248","18.69","Yes","310","26.22","251","22.89","Yes","748","19.63","653","20.42"
"No","923","82.01","876","80.01","No","949","84.39","925","81.31","No","791","73.78","768","77.11","No","2663","80.37","2569","79.58"
"","","","","","","","","","","","","","","","","","","",""
"F12l. Not good mothers","","","","","F12l. Not good mothers","","","","","F12l. Not good mothers","","","","","F12l. Not good mothers","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","550","54.5","524","59.45","Yes","273","19.51","296","27.13","Yes","176","13.38","147","10.8","Yes","999","20.77","967","23.98"
"No","561","45.5","506","40.55","No","926","80.49","877","72.87","No","925","86.62","872","89.2","No","2412","79.23","2255","76.02"
"","","","","","","","","","","","","","","","","","","",""
"F12m. Not good wives","","","","","F12m. Not good wives","","","","","F12m. Not good wives","","","","","F12m. Not good wives","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","566","55.3","523","59.3","Yes","288","20.58","302","27.03","Yes","172","13.46","145","11.28","Yes","1026","21.45","970","24.09"
"No","545","44.7","507","40.7","No","911","79.42","871","72.97","No","929","86.54","874","88.72","No","2385","78.55","2252","75.91"
"","","","","","","","","","","","","","","","","","","",""
"F12n. Isolated","","","","","F12n. Isolated","","","","","F12n. Isolated","","","","","F12n. Isolated","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","211","23.54","187","23.26","Yes","198","10.08","190","12.46","Yes","162","13.54","129","10.64","Yes","571","12.64","506","12.8"
"No","900","76.46","843","76.74","No","1001","89.92","983","87.54","No","939","86.46","890","89.36","No","2840","87.36","2716","87.2"
"","","","","","","","","","","","","","","","","","","",""
"F13. I am interested in running for elected office and political leadership opportunity","","","","","F13. I am interested in running for elected office and political leadership opportunity","","","","","F13. I am interested in running for elected office and political leadership opportunity","","","","","F13. I am interested in running for elected office and political leadership opportunity","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","314","28.52","348","35.26","Yes","424","38.12","476","45.22","Yes","217","15.25","254","21.85","Yes","955","29.02","1078","35.31"
"I am currently an elected official","44","4.85","32","4.03","I am currently an elected official","85","3.9","78","4.69","I am currently an elected official","52","15.41","49","13.42","I am currently an elected official","181","8.1","159","7.97"
"No","753","66.63","650","60.71","No","690","57.98","619","50.09","No","832","69.33","716","64.72","No","2275","62.88","1985","56.72"
