"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"0","465","82.91","0","NaN","0","395","79.72","0","NaN","0","382","89.26","3","100","0","1242","82.89","3","100"
"Other family member","83","17.09","0","NaN","Other family member","101","20.28","0","NaN","Other family member","50","10.74","0","0","Other family member","234","17.11","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7e. A bank or other formal financial institution (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7e. A bank or other formal financial institution (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7e. A bank or other formal financial institution (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7e. A bank or other formal financial institution (Other)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","536","96.55","0","NaN","0","495","100","0","NaN","0","429","99.43","3","100","0","1460","99.41","3","100"
"Other","11","3.45","0","NaN","Other","0","0","0","NaN","Other","3","0.57","0","0","Other","14","0.59","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7f. A place outside the home where you work for money (Husband)","","","","","G7f. A place outside the home where you work for money (Husband)","","","","","G7f. A place outside the home where you work for money (Husband)","","","","","G7f. A place outside the home where you work for money (Husband)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","42","6.41","0","NaN","0","42","8.47","0","NaN","0","24","10.61","0","0","0","108","8.85","0","0"
"Husband","469","93.59","0","NaN","Husband","420","91.53","0","NaN","Husband","378","89.39","3","100","Husband","1267","91.15","3","100"
"","","","","","","","","","","","","","","","","","","",""
"G7f. A place outside the home where you work for money (Mother-in-law)","","","","","G7f. A place outside the home where you work for money (Mother-in-law)","","","","","G7f. A place outside the home where you work for money (Mother-in-law)","","","","","G7f. A place outside the home where you work for money (Mother-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","413","83.17","0","NaN","0","407","86.69","0","NaN","0","335","88.49","3","100","0","1155","86.8","3","100"
"Mother-in-law","98","16.83","0","NaN","Mother-in-law","55","13.31","0","NaN","Mother-in-law","67","11.51","0","0","Mother-in-law","220","13.2","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7f. A place outside the home where you work for money (Father-in-law)","","","","","G7f. A place outside the home where you work for money (Father-in-law)","","","","","G7f. A place outside the home where you work for money (Father-in-law)","","","","","G7f. A place outside the home where you work for money (Father-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","449","86.91","0","NaN","0","432","90.98","0","NaN","0","372","98.35","3","100","0","1253","92.63","3","100"
"Father-in-law","62","13.09","0","NaN","Father-in-law","30","9.02","0","NaN","Father-in-law","30","1.65","0","0","Father-in-law","122","7.37","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7f. A place outside the home where you work for money (Other family member)","","","","","G7f. A place outside the home where you work for money (Other family member)","","","","","G7f. A place outside the home where you work for money (Other family member)","","","","","G7f. A place outside the home where you work for money (Other family member)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","440","85.72","0","NaN","0","377","83.45","0","NaN","0","364","92.47","3","100","0","1181","86.31","3","100"
"Other family member","71","14.28","0","NaN","Other family member","85","16.55","0","NaN","Other family member","38","7.53","0","0","Other family member","194","13.69","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7f. A place outside the home where you work for money (Other)","","","","","G7f. A place outside the home where you work for money (Other)","","","","","G7f. A place outside the home where you work for money (Other)","","","","","G7f. A place outside the home where you work for money (Other)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","508","99.48","0","NaN","0","459","99.65","0","NaN","0","391","99.08","3","100","0","1358","99.46","3","100"
"Other","2","0.52","0","NaN","Other","2","0.35","0","NaN","Other","11","0.92","0","0","Other","15","0.54","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Husband)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","59","12.53","0","0","0","46","10.12","0","NaN","0","19","7.86","0","0","0","124","9.8","0","0"
"Husband","405","87.47","1","100","Husband","411","89.88","0","NaN","Husband","361","92.14","2","100","Husband","1177","90.2","3","100"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Mother-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","368","84.12","0","0","0","401","84.43","0","NaN","0","311","88.29","2","100","0","1080","85.43","2","94.46"
"Mother-in-law","96","15.88","1","100","Mother-in-law","56","15.57","0","NaN","Mother-in-law","69","11.71","0","0","Mother-in-law","221","14.57","1","5.54"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Father-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","419","91.17","1","100","0","420","88.81","0","NaN","0","347","97.62","2","100","0","1186","91.47","3","100"
"Father-in-law","45","8.83","0","0","Father-in-law","37","11.19","0","NaN","Father-in-law","33","2.38","0","0","Father-in-law","115","8.53","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Other family member)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","402","88.08","1","100","0","373","81.49","0","NaN","0","347","94.13","2","100","0","1122","85.7","3","100"
"Other family member","62","11.92","0","0","Other family member","84","18.51","0","NaN","Other family member","33","5.87","0","0","Other family member","179","14.3","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group. (Other)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","448","93.89","1","100","0","455","100","0","NaN","0","370","99.6","2","100","0","1273","99.16","3","100"
"Other","15","6.11","0","0","Other","0","0","0","NaN","Other","10","0.4","0","0","Other","25","0.84","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7h. Work or educational/training opportunities that would require you to spend the night away from home (Husband)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Husband)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Husband)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Husband)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","54","8.87","0","0","0","44","7.97","0","NaN","0","20","5.82","0","0","0","118","7.44","0","0"
"Husband","551","91.13","1","100","Husband","421","92.03","0","NaN","Husband","412","94.18","2","100","Husband","1384","92.56","3","100"
"","","","","","","","","","","","","","","","","","","",""
"G7h. Work or educational/training opportunities that would require you to spend the night away from home (Mother-in-law)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Mother-in-law)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Mother-in-law)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Mother-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","505","86.99","0","0","0","419","88.99","0","NaN","0","356","88.68","2","100","0","1280","88.62","2","94.46"
"Mother-in-law","100","13.01","1","100","Mother-in-law","46","11.01","0","NaN","Mother-in-law","76","11.32","0","0","Mother-in-law","222","11.38","1","5.54"
"","","","","","","","","","","","","","","","","","","",""
"G7h. Work or educational/training opportunities that would require you to spend the night away from home (Father-in-law)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Father-in-law)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Father-in-law)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Father-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","545","90.53","1","100","0","434","90.86","0","NaN","0","394","98.03","2","100","0","1373","93","3","100"
"Father-in-law","60","9.47","0","0","Father-in-law","31","9.14","0","NaN","Father-in-law","38","1.97","0","0","Father-in-law","129","7","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7h. Work or educational/training opportunities that would require you to spend the night away from home (Other family member)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Other family member)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Other family member)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Other family member)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","527","86.76","1","100","0","387","84.38","0","NaN","0","394","95.17","2","100","0","1308","88.01","3","100"
"Other family member","78","13.24","0","0","Other family member","78","15.62","0","NaN","Other family member","38","4.83","0","0","Other family member","194","11.99","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7h. Work or educational/training opportunities that would require you to spend the night away from home (Other)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Other)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Other)","","","","","G7h. Work or educational/training opportunities that would require you to spend the night away from home (Other)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","597","97.43","1","100","0","463","100","0","NaN","0","422","99.73","2","100","0","1482","99.56","3","100"
"Other","7","2.57","0","0","Other","0","0","0","NaN","Other","10","0.27","0","0","Other","17","0.44","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Husband)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","47","7.2","0","0","0","41","8.32","0","NaN","0","12","3.36","0","0","0","100","6.83","0","0"
"Husband","509","92.8","1","100","Husband","405","91.68","0","NaN","Husband","391","96.64","1","100","Husband","1305","93.17","2","100"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Mother-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","442","83.26","0","0","0","398","87.7","0","NaN","0","326","87.3","1","100","0","1166","86.98","1","44.67"
"Mother-in-law","114","16.74","1","100","Mother-in-law","48","12.3","0","NaN","Mother-in-law","77","12.7","0","0","Mother-in-law","239","13.02","1","55.33"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Father-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","504","90.24","1","100","0","415","90.86","0","NaN","0","363","97.17","1","100","0","1282","92.48","2","100"
"Father-in-law","52","9.76","0","0","Father-in-law","31","9.14","0","NaN","Father-in-law","40","2.83","0","0","Father-in-law","123","7.52","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Other family member)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","498","90.05","1","100","0","368","82.66","0","NaN","0","367","94.21","1","100","0","1233","86.8","2","100"
"Other family member","58","9.95","0","0","Other family member","78","17.34","0","NaN","Other family member","36","5.79","0","0","Other family member","172","13.2","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Other)","","","","","From whom do you have to ask permission (select all that apply)  G7i. A social-gathering place where people might gather to watch or play sports together (Other)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","553","99.56","1","100","0","444","100","0","NaN","0","396","99.77","1","100","0","1393","99.88","2","100"
"Other","2","0.44","0","0","Other","0","0","0","NaN","Other","7","0.23","0","0","Other","9","0.12","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7j. An entertainment venue (movie theater, playhouse) (Husband)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Husband)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Husband)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Husband)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","40","7.22","0","0","0","40","9.26","0","NaN","0","17","5.64","0","0","0","97","7.95","0","0"
"Husband","518","92.78","1","100","Husband","419","90.74","0","NaN","Husband","395","94.36","5","100","Husband","1332","92.05","6","100"
"","","","","","","","","","","","","","","","","","","",""
"G7j. An entertainment venue (movie theater, playhouse) (Mother-in-law)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Mother-in-law)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Mother-in-law)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Mother-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","462","86.55","0","0","0","410","87.61","0","NaN","0","337","90.45","5","100","0","1209","88.3","5","98.5"
"Mother-in-law","96","13.45","1","100","Mother-in-law","49","12.39","0","NaN","Mother-in-law","75","9.55","0","0","Mother-in-law","220","11.7","1","1.5"
"","","","","","","","","","","","","","","","","","","",""
"G7j. An entertainment venue (movie theater, playhouse) (Father-in-law)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Father-in-law)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Father-in-law)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Father-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","504","90.33","1","100","0","428","91.07","0","NaN","0","372","97.68","5","100","0","1304","92.89","6","100"
"Father-in-law","54","9.67","0","0","Father-in-law","31","8.93","0","NaN","Father-in-law","40","2.32","0","0","Father-in-law","125","7.11","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7j. An entertainment venue (movie theater, playhouse) (Other family member)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Other family member)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Other family member)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Other family member)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","501","89.06","1","100","0","381","83.33","0","NaN","0","375","95.75","5","100","0","1257","87.67","6","100"
"Other family member","57","10.94","0","0","Other family member","78","16.67","0","NaN","Other family member","37","4.25","0","0","Other family member","172","12.33","0","0"
"","","","","","","","","","","","","","","","","","","",""
"G7j. An entertainment venue (movie theater, playhouse) (Other)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Other)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Other)","","","","","G7j. An entertainment venue (movie theater, playhouse) (Other)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","554","99.19","1","100","0","457","100","0","NaN","0","403","99.45","5","100","0","1414","99.74","6","100"
"Other","3","0.81","0","0","Other","0","0","0","NaN","Other","9","0.55","0","0","Other","12","0.26","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Husband)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Husband)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","44","9.22","0","0","0","42","9.66","0","NaN","0","19","7.67","0","0","0","105","9.03","0","0"
"Husband","510","90.78","1","100","Husband","420","90.34","0","NaN","Husband","374","92.33","2","100","Husband","1304","90.97","3","100"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Mother-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Mother-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","464","86.24","0","0","0","411","85.66","0","NaN","0","323","90.67","2","100","0","1198","87.17","2","94.46"
"Mother-in-law","90","13.76","1","100","Mother-in-law","51","14.34","0","NaN","Mother-in-law","70","9.33","0","0","Mother-in-law","211","12.83","1","5.54"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Father-in-law)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Father-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","506","90.45","1","100","0","431","90.81","0","NaN","0","359","98.03","2","100","0","1296","92.84","3","100"
"Father-in-law","48","9.55","0","0","Father-in-law","31","9.19","0","NaN","Father-in-law","34","1.97","0","0","Father-in-law","113","7.16","0","0"
"","","","","","","","","","","","","","","","","","","",""
"From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Other family member)","","","","","From whom do you have to ask permission (select all that apply)  G7k. A restaurant or coffee shop (Other family member)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","494","87.34","1","100","0","382","83.86","0","NaN","0","352","94.29","2","100","0","1228","87.31","3","100"
"Other family member","60","12.66","0","0","Other family member","80","16.14","0","NaN","Other family member","41","5.71","0","0","Other family member","181","12.69","0","0"
"","","","","","","","","","","","","","","","","","","",""
